Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2014,S08000032,,75plus years,,Females,,Coronary Heart Disease,261,,876.25058752434,,902.1509448733444
2014,S92000003,d,0-44 years,,Males,,Coronary Heart Disease,86,,5.92237556124838,,6.48846464636524
2014,S92000003,d,0-44 years,,Females,,Coronary Heart Disease,28,,1.92538579917951,,2.0012675664119057
2014,S92000003,d,45-64 years,,Males,,Coronary Heart Disease,754,,105.096628962903,,106.742205369188
2014,S92000003,d,45-64 years,,Females,,Coronary Heart Disease,242,,32.0385097591684,,32.719245417891464
2014,S92000003,d,65-74 years,,Males,,Coronary Heart Disease,966,,380.577169309564,,391.05463089795546
2014,S92000003,d,65-74 years,,Females,,Coronary Heart Disease,396,,140.731448147924,,143.34230076790686
2014,S92000003,d,75plus years,,Males,,Coronary Heart Disease,2183,,1260.75656944846,,1388.504496319875
2014,S92000003,d,75plus years,,Females,,Coronary Heart Disease,2217,,852.403801790163,,830.2342207280615
2015,S08000015,,0-44 years,,Males,,Coronary Heart Disease,9,,9.95211924850442,,10.968571568892177
2015,S08000015,,0-44 years,,Females,,Coronary Heart Disease,3,,3.24149108589951,,3.3607137478378406
2015,S08000015,,45-64 years,,Males,,Coronary Heart Disease,67,,129.406084017383,,129.02734166335586
2015,S08000015,,45-64 years,,Females,,Coronary Heart Disease,21,,37.0207139709123,,37.11375705332038
2015,S08000015,,65-74 years,,Males,,Coronary Heart Disease,87,,411.386419519576,,424.5405154748557
2015,S08000015,,65-74 years,,Females,,Coronary Heart Disease,38,,161.695247010765,,162.49215684902464
2015,S08000015,,75plus years,,Males,,Coronary Heart Disease,200,,1406.1730999086,,1554.341593536115
2015,S08000015,,75plus years,,Females,,Coronary Heart Disease,194,,958.734865332345,,940.9836898894056
2015,S08000016,,0-44 years,,Males,,Coronary Heart Disease,3,,11.6423470971748,,12.52937261932674
2015,S08000016,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2015,S08000016,,45-64 years,,Males,,Coronary Heart Disease,15,,87.0827285921626,,85.91998071168003
2015,S08000016,,45-64 years,,Females,,Coronary Heart Disease,5,,28.0504908835905,,27.827208733440376
2015,S08000016,,65-74 years,,Males,,Coronary Heart Disease,27,,367.947669664759,,384.94382377677465
2015,S08000016,,65-74 years,,Females,,Coronary Heart Disease,12,,154.778795305043,,158.9050758196197
2015,S08000016,,75plus years,,Males,,Coronary Heart Disease,78,,1578.30837717523,,1939.45029504697
2015,S08000016,,75plus years,,Females,,Coronary Heart Disease,62,,923.306031273269,,903.4061579406788
2015,S08000017,,0-44 years,,Males,,Coronary Heart Disease,1,,2.94221489937625,,3.039975680194558
2015,S08000017,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2015,S08000017,,45-64 years,,Males,,Coronary Heart Disease,25,,114.495076711701,,110.23710328547084
2015,S08000017,,45-64 years,,Females,,Coronary Heart Disease,7,,30.0364728599013,,29.166712709558027
2015,S08000017,,65-74 years,,Males,,Coronary Heart Disease,37,,375.101378751014,,392.63135819658015
2015,S08000017,,65-74 years,,Females,,Coronary Heart Disease,14,,135.187331015836,,137.3905850686088
2015,S08000017,,75plus years,,Males,,Coronary Heart Disease,96,,1370.64534551685,,1490.8756624981793
2015,S08000017,,75plus years,,Females,,Coronary Heart Disease,100,,1096.85203466052,,1071.4294695297515
2015,S08000019,,0-44 years,,Males,,Coronary Heart Disease,3,,3.72462598547396,,4.021120591822542
2015,S08000019,,0-44 years,,Females,,Coronary Heart Disease,3,,3.69540045822966,,3.999138340987604
2015,S08000019,,45-64 years,,Males,,Coronary Heart Disease,51,,121.680624150025,,124.83045589053864
2015,S08000019,,45-64 years,,Females,,Coronary Heart Disease,11,,25.202767722128,,26.26539702115874
2015,S08000019,,65-74 years,,Males,,Coronary Heart Disease,54,,359.042553191489,,371.0242642178384
2015,S08000019,,65-74 years,,Females,,Coronary Heart Disease,32,,194.730116229538,,201.38232780484176
2015,S08000019,,75plus years,,Males,,Coronary Heart Disease,119,,1212.42995415181,,1377.5544266479833
2015,S08000019,,75plus years,,Females,,Coronary Heart Disease,108,,767.263427109974,,765.6447775606902
2015,S08000020,,0-44 years,,Males,,Coronary Heart Disease,3,,1.78428048889285,,1.9555913149396
2015,S08000020,,0-44 years,,Females,,Coronary Heart Disease,2,,1.23344105385204,,1.3587835909617485
2015,S08000020,,45-64 years,,Males,,Coronary Heart Disease,62,,79.3488276850619,,80.67181849452801
2015,S08000020,,45-64 years,,Females,,Coronary Heart Disease,13,,16.4817749603803,,16.855256815633048
