Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S12000038,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,36.652855245173555
2013,S12000038,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,523.4519274787732
2013,S12000038,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,166.63151547335096
2013,S12000038,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1454.2025875453028
2013,S12000038,,75plus years,,Females,,Coronary Heart Disease,,c,,c,919.1837780383248
2013,S12000039,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,4.476161244117045
2013,S12000039,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000039,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,185.501366101688
2013,S12000039,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,30.0254183161262
2013,S12000039,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,435.7499914678323
2013,S12000039,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,235.6916795579993
2013,S12000039,,75plus years,,Males,,Coronary Heart Disease,,c,,c,2145.7824678803586
2013,S12000039,,75plus years,,Females,,Coronary Heart Disease,,c,,c,982.1582439866088
2013,S12000040,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,7.661325628228701
2013,S12000040,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,4.300989589248653
2013,S12000040,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,134.2940472679641
2013,S12000040,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,39.12675132944742
2013,S12000040,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,448.78174723575273
2013,S12000040,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,158.68698026782545
2013,S12000040,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1745.218091576289
2013,S12000040,,75plus years,,Females,,Coronary Heart Disease,,c,,c,975.1509924085666
2013,S12000041,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,6.737506737506738
2013,S12000041,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,3.1671055370053662
2013,S12000041,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,85.82353137181863
2013,S12000041,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,23.177427808858667
2013,S12000041,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,338.35406371690516
2013,S12000041,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,101.1025540500474
2013,S12000041,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1567.475232799453
2013,S12000041,,75plus years,,Females,,Coronary Heart Disease,,c,,c,792.6234094388385
2013,S12000042,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,7.573639075316928
2013,S12000042,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,3.295947867521729
2013,S12000042,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,136.58705483588972
2013,S12000042,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,26.37763481626158
2013,S12000042,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,502.14598632625047
2013,S12000042,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,213.22429122233856
2013,S12000042,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1240.008446224953
2013,S12000042,,75plus years,,Females,,Coronary Heart Disease,,c,,c,786.2615920162751
2013,S12000045,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S12000045,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000045,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,78.68597891224363
2013,S12000045,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,24.38863665493038
2013,S12000045,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,216.17127343941343
2013,S12000045,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,205.64859546635975
2013,S12000045,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1155.3688733750748
2013,S12000045,,75plus years,,Females,,Coronary Heart Disease,,c,,c,620.5537424002058
2013,S12000047,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,9.9571242545638
2013,S12000047,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,2.1883133219028013
2013,S12000047,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,125.9971638484589
2013,S12000047,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,21.123807015020446
2013,S12000047,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,416.5043728341582
2013,S12000047,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,72.89455044102922
2013,S12000047,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1547.3360270010307
2013,S12000047,,75plus years,,Females,,Coronary Heart Disease,,c,,c,914.4028488405534
2013,S12000048,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,22.885230888248767
2013,S12000048,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000048,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,56.510388081301514
2013,S12000048,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,9.406827185730569
2013,S12000048,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,221.74983951976932
2013,S12000048,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,113.27823107796094
2013,S12000048,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1167.6859388534697
2013,S12000048,,75plus years,,Females,,Coronary Heart Disease,,c,,c,940.6889092831368
2013,S12000049,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,7.723934890897227
2013,S12000049,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,1.640039620752043
2013,S12000049,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,182.05410723125237
2013,S12000049,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,47.55781003929637
2013,S12000049,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,546.2796445501697
2013,S12000049,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,225.19847873255975
2013,S12000049,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1469.5487708177882
2013,S12000049,,75plus years,,Females,,Coronary Heart Disease,,c,,c,981.1260990540472
2013,S12000050,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,7.901886117639544
2013,S12000050,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000050,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,192.7377592610191
2013,S12000050,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,43.560562841251176
2013,S12000050,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,533.9209171787929
2013,S12000050,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,246.7688956346699
2013,S12000050,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1844.5704634920332
2013,S12000050,,75plus years,,Females,,Coronary Heart Disease,,c,,c,969.7168076692228
2014,S92000003,d,0-44 years,,Males,,Coronary Heart Disease,86,,5.92237556124838,,6.48846464636524
2014,S92000003,d,0-44 years,,Females,,Coronary Heart Disease,28,,1.92538579917951,,2.0012675664119057
2014,S92000003,d,45-64 years,,Males,,Coronary Heart Disease,754,,105.096628962903,,106.742205369188
2014,S92000003,d,45-64 years,,Females,,Coronary Heart Disease,242,,32.0385097591684,,32.719245417891464
2014,S92000003,d,65-74 years,,Males,,Coronary Heart Disease,966,,380.577169309564,,391.05463089795546
2014,S92000003,d,65-74 years,,Females,,Coronary Heart Disease,396,,140.731448147924,,143.34230076790686
2014,S92000003,d,75plus years,,Males,,Coronary Heart Disease,2183,,1260.75656944846,,1388.504496319875
2014,S92000003,d,75plus years,,Females,,Coronary Heart Disease,2217,,852.403801790163,,830.2342207280615
2014,S12000005,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,7.319572536963841
2014,S12000005,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2014,S12000005,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,126.07621898869527
2014,S12000005,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,52.06969159230462
2014,S12000005,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,246.53984786875156
2014,S12000005,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,200.31640488597412
2014,S12000005,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1398.8260189247055
2014,S12000005,,75plus years,,Females,,Coronary Heart Disease,,c,,c,917.268941652678
2014,S12000006,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,11.723231257484027
2014,S12000006,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,2.7458087191194585
2014,S12000006,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,94.9530244436676
2014,S12000006,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,25.756684221851557
2014,S12000006,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,366.729220712271
2014,S12000006,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,170.21613910772427
2014,S12000006,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1589.4984346272108
2014,S12000006,,75plus years,,Females,,Coronary Heart Disease,,c,,c,917.03470121354
2014,S12000008,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,6.289647240641904
2014,S12000008,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,2.9334607293421504
2014,S12000008,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,125.22973876257926
2014,S12000008,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,51.42357409751783
2014,S12000008,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,500.7831884565409
2014,S12000008,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,256.0693917173713
